region_country_area,value
Afghanistan,9.9
Albania,46.871428571428574
Algeria,35.82857142857143
Andorra,70.68571428571428
Angola,17.614285714285717
Anguilla,44.25
Antigua and Barbuda,62.51428571428572
Argentina,55.75714285714286
Armenia,44.614285714285714
Aruba,47.875
Australia,79.51428571428572
Austria,74.08571428571429
Azerbaijan,54.685714285714276
Bahamas,61.642857142857146
Bahrain,67.91428571428571
Bangladesh,16.642857142857142
Barbados,64.17142857142856
Belarus,58.449999999999996
Belgium,74.27142857142857
Belize,38.771428571428565
Benin,14.357142857142858
Bermuda,72.7
Bhutan,42.471428571428575
Bolivia (Plurin. State of),34.27142857142857
Bosnia and Herzegovina,48.08571428571429
Botswana,37.214285714285715
Brazil,51.25714285714286
British Virgin Islands,37.0
Brunei Darussalam,65.55714285714285
Bulgaria,48.814285714285724
Burkina Faso,7.771428571428572
Burundi,2.2714285714285714
Cabo Verde,39.357142857142854
Cambodia,26.542857142857144
Cameroon,21.7
Canada,81.47142857142856
Cayman Islands,60.333333333333336
Central African Republic,4.571428571428571
Chad,6.228571428571428
Chile,61.57142857142857
China,43.17142857142857
"China, Hong Kong SAR",74.11428571428571
"China, Macao SAR",63.51428571428572
Colombia,44.92857142857143
Comoros,11.4
Congo,3.525
Cook Islands,32.15
Costa Rica,52.67142857142857
Croatia,57.82857142857142
Cuba,39.08571428571429
Cyprus,62.92857142857143
Czechia,62.07142857142857
Côte dIvoire,20.52857142857143
Dem. People's Rep. Korea,0.0
Dem. Rep. of the Congo,9.571428571428571
Denmark,85.75714285714285
Djibouti,31.442857142857143
Dominica,55.885714285714286
Dominican Republic,49.699999999999996
Ecuador,41.642857142857146
Egypt,39.15714285714286
El Salvador,30.87142857142857
Equatorial Guinea,26.47142857142857
Eritrea,7.75
Estonia,74.7
Eswatini,30.071428571428573
Ethiopia,9.171428571428569
Falkland Islands (Malvinas),84.175
Faroe Islands,67.55000000000001
Fiji,46.042857142857144
Finland,79.94285714285715
France,66.65714285714286
French Guiana,15.25
French Polynesia,35.375
Gabon,39.44285714285714
Gambia,17.842857142857145
Georgia,42.68571428571429
Germany,76.82857142857142
Ghana,28.957142857142856
Gibraltar,41.06666666666667
Greece,53.800000000000004
Greenland,55.0
Grenada,46.6
Guadeloupe,12.25
Guam,45.45
Guatemala,26.914285714285715
Guernsey,52.75
Guinea,13.957142857142857
Guinea-Bissau,13.814285714285715
Guyana,45.05714285714286
Haiti,19.571428571428573
Honduras,25.271428571428572
Hungary,62.51428571428572
Iceland,88.82857142857142
India,20.642857142857142
Indonesia,28.714285714285715
Iran (Islamic Republic of),42.41428571428571
Iraq,26.266666666666666
Ireland,69.58571428571429
Israel,65.45714285714286
Italy,54.74285714285715
Jamaica,45.48571428571428
Japan,76.0
Jersey,20.25
Jordan,46.457142857142856
Kazakhstan,52.114285714285714
Kenya,14.885714285714286
Kiribati,24.5
Kuwait,67.75714285714285
Kyrgyzstan,38.857142857142854
Lao People's Dem. Rep.,27.02857142857143
Latvia,66.58571428571429
Lebanon,55.042857142857144
Lesotho,23.557142857142857
Liberia,16.233333333333334
Libya,6.033333333333334
Liechtenstein,79.94285714285715
Lithuania,61.1
Luxembourg,82.07142857142857
Madagascar,7.414285714285714
Malawi,9.357142857142858
Malaysia,66.85714285714286
Maldives,47.285714285714285
Mali,13.942857142857141
Malta,64.78571428571429
Marshall Islands,7.925000000000001
Martinique,20.25
Mauritania,25.3
Mauritius,42.15714285714286
Mayotte,1.2
Mexico,46.785714285714285
Monaco,74.31428571428572
Mongolia,39.166666666666664
Montenegro,61.0
Montserrat,35.0
Morocco,54.457142857142856
Mozambique,8.571428571428571
Myanmar,21.316666666666666
Namibia,27.071428571428573
Nauru,78.43333333333334
Nepal,22.67142857142857
Netherlands (Kingdom of the),83.44285714285715
New Caledonia,40.575
New Zealand,79.21428571428571
Nicaragua,26.957142857142856
Niger,9.142857142857142
Nigeria,27.357142857142858
Niue,51.73333333333333
North Macedonia,56.728571428571435
Norway,88.31428571428572
Oman,57.34285714285714
Other non-specified areas,71.92857142857143
Pakistan,13.716666666666667
Panama,43.714285714285715
Papua New Guinea,13.071428571428571
Paraguay,42.51428571428572
Peru,41.75714285714285
Philippines,30.3
Poland,60.771428571428565
Portugal,58.457142857142856
Puerto Rico,44.08
Qatar,70.12857142857142
Republic of Korea,83.15714285714286
Republic of Moldova,38.142857142857146
Romania,50.94285714285714
Russian Federation,56.01428571428572
Rwanda,13.842857142857143
Réunion,20.950000000000003
Saint Helena,15.566666666666668
Saint Kitts and Nevis,59.75714285714286
Saint Lucia,49.871428571428574
Saint Vincent & Grenadines,47.82857142857143
Samoa,35.0
San Marino,62.48
Sao Tome and Principe,26.385714285714283
Saudi Arabia,59.871428571428574
Senegal,25.2
Serbia,61.583333333333336
Seychelles,51.42857142857143
Sierra Leone,7.0
Singapore,74.74285714285715
Slovakia,68.51428571428572
Slovenia,66.24285714285715
Solomon Islands,16.642857142857142
Somalia,0.9666666666666668
South Africa,43.0
South Sudan,5.033333333333333
Spain,69.11428571428571
Sri Lanka,32.38333333333333
State of Palestine,36.36
Sudan,13.899999999999999
Suriname,38.300000000000004
Sweden,84.05714285714285
Switzerland,81.67142857142858
Syrian Arab Republic,21.166666666666668
Tajikistan,7.725
Thailand,44.31428571428571
Timor-Leste,20.55
Togo,13.928571428571429
Tonga,37.42857142857143
Trinidad and Tobago,55.285714285714285
Tunisia,44.9
Turkmenistan,4.775
Tuvalu,25.4
Türkiye,49.41428571428571
Uganda,4.914285714285714
Ukraine,42.98571428571428
United Arab Emirates,74.47142857142856
United Kingdom,79.68571428571428
United Rep. of Tanzania,12.485714285714286
United States Virgin Islands,31.775
United States of America,75.60000000000001
Uruguay,57.34285714285714
Uzbekistan,40.08571428571429
Vanuatu,29.699999999999996
Venezuela (Boliv. Rep. of),27.85
Viet Nam,43.128571428571426
Wallis and Futuna Islands,6.566666666666666
Yemen,9.4
Zambia,9.914285714285715
Zimbabwe,17.514285714285712
